strategy,direction,reason,entry_price,take_profit_pips,stop_loss_pips,level
price_action,sell,rejection at support,3333.115,250.0,120.0,1
price_action,sell,rejection at support,3330.335,250.0,120.0,1
price_action,sell,rejection at support,3327.745,250.0,120.0,1
price_action,sell,rejection at support,3321.898,250.0,120.0,1
price_action,sell,rejection at support,3302.085,250.0,120.0,1
price_action,sell,rejection at support,3309.645,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3312.075,250.0,120.0,1
price_action,sell,rejection at support,3312.075,250.0,120.0,1
price_action,sell,rejection at support,3311.128,250.0,120.0,1
price_action,sell,rejection at support,3308.585,250.0,120.0,1
price_action,sell,rejection at support,3314.945,250.0,120.0,1
price_action,sell,rejection at support,3313.398,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3312.865,250.0,120.0,1
price_action,sell,rejection at support,3310.465,250.0,120.0,1
price_action,sell,rejection at support,3313.548,250.0,120.0,1
price_action,buy,rejection at resistance,3326.975,250.0,120.0,1
price_action,buy,rejection at resistance,3327.305,250.0,120.0,1
price_action,sell,rejection at support,3321.848,250.0,120.0,1
price_action,sell,rejection at support,3319.555,250.0,120.0,1
price_action,sell,rejection at support,3316.555,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3315.055,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3319.875,250.0,120.0,1
price_action,buy,rejection at resistance,3324.215,250.0,120.0,1
trend_following,buy,EMA pullback breakout,3327.145,250.0,120.0,1
price_action,buy,rejection at resistance,3327.145,250.0,120.0,1
price_action,buy,rejection at resistance,3328.705,250.0,120.0,1
price_action,buy,rejection at resistance,3329.705,250.0,120.0,1
price_action,sell,rejection at support,3320.519,250.0,120.0,1
price_action,buy,rejection at resistance,3324.865,250.0,120.0,1
price_action,buy,rejection at resistance,3326.298,250.0,120.0,1
price_action,buy,rejection at resistance,3327.975,250.0,120.0,1
price_action,buy,rejection at resistance,3329.798,250.0,120.0,1
price_action,sell,rejection at support,3322.848,250.0,120.0,1
price_action,buy,rejection at resistance,3326.705,250.0,120.0,1
price_action,buy,rejection at resistance,3328.598,250.0,120.0,1
price_action,buy,rejection at resistance,3329.765,250.0,120.0,1
price_action,sell,rejection at support,3322.748,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3323.098,250.0,120.0,1
trend_following,buy,EMA pullback breakout,3328.998,250.0,120.0,1
price_action,sell,rejection at support,3324.695,250.0,120.0,1
price_action,buy,rejection at resistance,3329.735,250.0,120.0,1
trend_following,buy,EMA pullback breakout,3329.575,250.0,120.0,1
price_action,buy,rejection at resistance,3330.675,250.0,120.0,1
price_action,sell,rejection at support,3323.598,250.0,120.0,1
price_action,sell,rejection at support,3313.125,250.0,120.0,1
price_action,sell,rejection at support,3309.065,250.0,120.0,1
price_action,sell,rejection at support,3305.185,250.0,120.0,1
price_action,sell,rejection at support,3302.798,250.0,120.0,1
price_action,sell,rejection at support,3292.215,250.0,120.0,1
price_action,sell,rejection at support,3288.775,250.0,120.0,1
price_action,sell,rejection at support,3280.015,250.0,120.0,1
price_action,sell,rejection at support,3275.075,250.0,120.0,1
price_action,sell,rejection at support,3273.055,250.0,120.0,1
price_action,sell,rejection at support,3305.415,250.0,120.0,1
price_action,sell,rejection at support,3304.525,250.0,120.0,1
price_action,sell,rejection at support,3300.655,250.0,120.0,1
price_action,sell,rejection at support,3296.105,250.0,120.0,1
price_action,buy,rejection at resistance,3308.295,250.0,120.0,1
price_action,sell,rejection at support,3301.145,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3300.465,250.0,120.0,1
price_action,sell,rejection at support,3296.455,250.0,120.0,1
price_action,sell,rejection at support,3290.998,250.0,120.0,1
price_action,sell,rejection at support,3290.905,250.0,120.0,1
price_action,sell,rejection at support,3289.275,250.0,120.0,1
price_action,sell,rejection at support,3283.505,250.0,120.0,1
price_action,sell,rejection at support,3291.248,250.0,120.0,1
trend_following,sell,EMA pullback breakout,3287.195,250.0,120.0,1
price_action,sell,rejection at support,3287.195,250.0,120.0,1
price_action,buy,rejection at resistance,3338.815,250.0,120.0,1
price_action,buy,rejection at resistance,3341.015,250.0,120.0,1
price_action,buy,rejection at resistance,3350.795,250.0,120.0,1
price_action,buy,rejection at resistance,3351.585,250.0,120.0,1
price_action,buy,rejection at resistance,3350.648,250.0,120.0,1
price_action,buy,rejection at resistance,3360.015,250.0,120.0,1
price_action,buy,rejection at resistance,3362.355,250.0,120.0,1
price_action,buy,rejection at resistance,3361.805,250.0,120.0,1
price_action,buy,rejection at resistance,3353.895,250.0,120.0,1
price_action,buy,rejection at resistance,3355.625,250.0,120.0,1
trend_following,buy,EMA pullback breakout,3356.715,250.0,120.0,1
price_action,buy,rejection at resistance,3357.635,250.0,120.0,1
price_action,buy,rejection at resistance,3360.098,250.0,120.0,1
price_action,buy,rejection at resistance,3360.848,250.0,120.0,1
price_action,buy,rejection at resistance,3362.445,250.0,120.0,1
trend_following,buy,EMA pullback breakout,3358.648,250.0,120.0,1
price_action,buy,rejection at resistance,3363.625,250.0,120.0,1
price_action,buy,rejection at resistance,3367.525,250.0,120.0,1
price_action,buy,rejection at resistance,3368.055,250.0,120.0,1
price_action,buy,rejection at resistance,3370.145,250.0,120.0,1
price_action,buy,rejection at resistance,3373.098,250.0,120.0,1
price_action,buy,rejection at resistance,3375.395,250.0,120.0,1
price_action,buy,rejection at resistance,3382.688,250.0,120.0,1
price_action,buy,rejection at resistance,3377.498,250.0,120.0,1
price_action,buy,rejection at resistance,3375.779,250.0,120.0,1
price_action,buy,rejection at resistance,3378.555,250.0,120.0,1
price_action,buy,rejection at resistance,3379.085,250.0,120.0,1
