strategy,direction,reason,entry_price,take_profit_pips,stop_loss_pips,level,trailing_stop_step_pips,trailing_stop_level,trailing_stop_price,exit_price
price_action,buy,rejection at resistance,4564.865,2400.0,1200.0,1,1200.0,1,4552.865,
price_action,buy,rejection at resistance,4573.468,2400.0,1200.0,1,1200.0,1,4561.468,
price_action,buy,rejection at resistance,4578.635,2400.0,1200.0,1,1200.0,1,4566.635,
price_action,sell,rejection at support,4566.065,2400.0,1200.0,1,1200.0,1,4578.065,
trend_following,sell,EMA pullback breakout,4559.575,2400.0,1200.0,1,1200.0,1,4571.575,
price_action,sell,rejection at support,4559.575,2400.0,1200.0,1,1200.0,1,4571.575,
scalping,sell,EMA crossover,4559.575,2400.0,1200.0,1,1200.0,1,4571.575,
session_breakout,sell,breakout below session range,4559.575,2400.0,1200.0,1,1200.0,1,4571.575,
price_action,sell,rejection at support,4557.035,2400.0,1200.0,1,1200.0,1,4569.035,
price_action,sell,rejection at support,4555.985,2400.0,1200.0,1,1200.0,1,4567.985,
price_action,sell,rejection at support,4554.485,2400.0,1200.0,1,1200.0,1,4566.485,
session_breakout,sell,breakout below session range,4554.485,2400.0,1200.0,1,1200.0,1,4566.485,
price_action,sell,rejection at support,4550.335,2400.0,1200.0,1,1200.0,1,4562.335,
session_breakout,sell,breakout below session range,4550.335,2400.0,1200.0,1,1200.0,1,4562.335,
price_action,sell,rejection at support,4546.395,2400.0,1200.0,1,1200.0,1,4558.395,
session_breakout,sell,breakout below session range,4546.395,2400.0,1200.0,1,1200.0,1,4558.395,
price_action,buy,rejection at resistance,4572.758,2400.0,1200.0,1,1200.0,1,4560.758,
session_breakout,buy,breakout above session range,4572.758,2400.0,1200.0,1,1200.0,1,4560.758,
trend_following,buy,EMA pullback breakout,4588.465,2400.0,1200.0,1,1200.0,1,4576.465,
price_action,buy,rejection at resistance,4588.465,2400.0,1200.0,1,1200.0,1,4576.465,
scalping,buy,EMA crossover,4588.465,2400.0,1200.0,1,1200.0,1,4576.465,
session_breakout,buy,breakout above session range,4588.465,2400.0,1200.0,1,1200.0,1,4576.465,
price_action,buy,rejection at resistance,4593.775,2400.0,1200.0,1,1200.0,1,4581.775,
session_breakout,buy,breakout above session range,4593.775,2400.0,1200.0,1,1200.0,1,4581.775,
price_action,buy,rejection at resistance,4602.005,2400.0,1200.0,1,1200.0,1,4590.005,
session_breakout,buy,breakout above session range,4602.005,2400.0,1200.0,1,1200.0,1,4590.005,
price_action,buy,rejection at resistance,4610.015,2400.0,1200.0,1,1200.0,1,4598.015,
session_breakout,buy,breakout above session range,4610.015,2400.0,1200.0,1,1200.0,1,4598.015,
price_action,buy,rejection at resistance,4618.475,2400.0,1200.0,1,1200.0,1,4606.475,
session_breakout,buy,breakout above session range,4618.475,2400.0,1200.0,1,1200.0,1,4606.475,
price_action,buy,rejection at resistance,4624.755,2400.0,1200.0,1,1200.0,1,4612.755,
session_breakout,buy,breakout above session range,4624.755,2400.0,1200.0,1,1200.0,1,4612.755,
